Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Country,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Shipping_Cost
ORD-100032,2021-01-23,2021-02-16,CUST-5684,Robert Wilson,Home Office,United States,Asia-Pacific,Furniture,Paper,Product C,185.25,1,0.05,40.77,10.8
ORD-100033,2022-03-18,2022-04-07,CUST-7703,John Smith,Consumer,Mexico,Americas,Office Supplies,Tables,Product D,194.47,4,0.0,49.97,23.25
ORD-100034,2022-09-15,2022-10-05,CUST-8795,Robert Wilson,Consumer,Canada,Europe,Office Supplies,Binders,Product D,250.12,8,0.0,30.84,37.17
ORD-100035,2021-07-13,2021-07-30,CUST-5373,John Smith,Home Office,Germany,Europe,Office Supplies,Desks,Product D,560.74,18,0.0,210.7,77.2
ORD-100036,2022-06-16,,CUST-5475,John Smith,Consumer,Canada,Asia-Pacific,Technology,Paper,Product C,12974.25,22,0.1,1544.63,
ORD-100037,2023-07-27,2023-08-06,CUST-5880,Sarah Johnson,Consumer,Australia,Americas,Technology,Binders,Product C,14779.26,21,0.2,2574.61,929.85
ORD-100038,2021-12-31,2022-01-11,CUST-7966,Robert Wilson,Corporate,Canada,Europe,Office Supplies,Paper,Product B,373.23,22,0.1,128.73,21.96
ORD-100039,2020-07-31,2020-08-15,CUST-5541,Sarah Johnson,Home Office,France,Europe,Technology,Tables,Product A,4043.1,6,0.05,1077.26,495.84
ORD-100040,2019-05-13,2019-05-21,CUST-8254,Mike Davis,Consumer,Canada,Americas,Office Supplies,Phones,Product D,982.03,20,0.0,243.33,111.3
ORD-100041,2023-03-24,2023-04-01,CUST-5523,Sarah Johnson,Home Office,Mexico,Asia-Pacific,Furniture,Phones,Product B,3241.13,18,0.05,1123.17,274.72
ORD-100042,2022-01-06,2022-01-23,CUST-6276,Emily Brown,Consumer,Canada,Americas,Technology,Copiers,Product C,3782.05,15,0.05,1369.38,212.2
ORD-100043,2020-09-30,2020-10-28,CUST-8345,Sarah Johnson,Corporate,Canada,Asia-Pacific,Office Supplies,Phones,Product C,540.91,14,0.0,60.04,65.63
ORD-100044,2021-11-04,2021-12-03,CUST-7156,Sarah Johnson,Consumer,United Kingdom,Europe,Technology,Copiers,Product D,2584.11,7,0.0,512.3,359.33
ORD-100045,2019-04-21,2019-05-17,CUST-7709,Robert Wilson,Home Office,United States,Asia-Pacific,Office Supplies,Phones,Product B,213.39,10,0.0,62.69,18.27
ORD-100046,2023-03-07,2023-03-27,CUST-5003,John Smith,Home Office,France,Europe,Office Supplies,Phones,Product D,175.65,24,0.15,45.21,26.04
ORD-100047,2021-08-04,2021-09-02,CUST-5653,Robert Wilson,Home Office,Mexico,Europe,Office Supplies,Phones,Product C,243.31,19,0.1,94.99,17.02
ORD-100048,2023-03-15,2023-03-23,CUST-7832,John Smith,Home Office,Mexico,Americas,Furniture,Tables,Product C,922.6,6,0.0,109.8,75.87
ORD-100049,2023-04-23,2023-05-20,CUST-7965,Emily Brown,Corporate,Australia,Americas,Technology,Paper,Product D,4374.1,5,0.1,600.52,629.14
ORD-100050,2023-12-08,2023-12-21,CUST-6318,Mike Davis,Corporate,United Kingdom,Europe,Furniture,Paper,Product B,1277.49,3,0.0,382.68,109.71
ORD-100051,2021-11-12,2021-12-01,CUST-6471,Emily Brown,Consumer,United States,Americas,Furniture,Copiers,Product C,4761.32,15,0.0,1770.93,293.72
ORD-100052,2023-08-20,2023-08-25,CUST-6141,Robert Wilson,Home Office,Mexico,Americas,Office Supplies,Copiers,Product C,198.8,6,0.1,66.31,14.01
ORD-100053,2019-08-16,2019-09-02,CUST-8325,Sarah Johnson,Consumer,Germany,Americas,Technology,Phones,Product B,12262.58,15,0.0,1271.15,1306.59
ORD-100054,2020-12-12,2021-01-08,CUST-8204,Robert Wilson,Corporate,France,Asia-Pacific,Technology,Copiers,Product B,3175.19,12,0.15,413.53,389.31
ORD-100055,2021-10-05,2021-10-18,CUST-5566,Mike Davis,Home Office,Germany,Europe,Office Supplies,Copiers,Product A,331.06,8,0.1,45.3,22.03
ORD-100056,2022-12-25,2023-01-07,CUST-7687,Mike Davis,Consumer,Canada,Americas,Furniture,Tables,Product D,2906.85,21,0.05,652.16,413.63
ORD-100057,2021-02-01,2021-02-24,CUST-5688,Emily Brown,Consumer,Australia,Europe,Office Supplies,Phones,Product B,380.34,21,0.15,104.28,19.52
ORD-100058,2020-04-20,2020-05-02,CUST-5768,Mike Davis,Home Office,United States,Americas,Furniture,Copiers,Product B,9657.99,23,0.0,1978.11,1086.5
ORD-100059,2019-07-13,2019-08-08,CUST-7134,Emily Brown,Corporate,France,Europe,Furniture,Desks,Product C,3282.65,19,0.0,1176.95,286.68
ORD-100060,2022-10-04,2022-10-16,CUST-8874,Mike Davis,Consumer,Australia,Asia-Pacific,Furniture,Binders,Product D,7252.88,24,0.0,2020.03,775.65
ORD-100061,2019-06-14,2019-07-10,CUST-6920,Robert Wilson,Corporate,Australia,Asia-Pacific,Furniture,Binders,Product C,5652.74,16,0.0,1813.24,352.04
ORD-100062,2021-01-15,2021-01-21,CUST-7679,Mike Davis,Home Office,Australia,Americas,Technology,Phones,Product C,3208.19,5,0.0,740.57,464.69
ORD-100063,2019-05-08,2019-05-29,CUST-8798,Robert Wilson,Home Office,United States,Europe,Office Supplies,Tables,Product B,301.56,9,0.0,53.49,40.26
ORD-100064,2022-03-15,2022-04-09,CUST-5609,Emily Brown,Consumer,France,Europe,Office Supplies,Paper,Product A,465.56,17,0.0,147.15,29.8
ORD-100065,2021-03-31,2021-04-11,CUST-5148,Mike Davis,Consumer,United States,Europe,Office Supplies,Tables,Product D,595.38,21,0.0,67.93,73.71
ORD-100066,2020-11-06,2020-11-27,CUST-8920,Mike Davis,Home Office,Mexico,Europe,Technology,Paper,Product C,1926.54,2,0.0,270.68,148.33
ORD-100067,2020-04-26,2020-05-09,,Mike Davis,Corporate,Germany,Americas,Office Supplies,Phones,Product B,212.18,9,0.0,66.09,20.36
ORD-100068,2021-05-15,2021-05-31,CUST-6750,Robert Wilson,Consumer,United Kingdom,Asia-Pacific,Technology,Phones,Product D,16323.23,17,0.0,3816.4,1700.72
ORD-100069,2020-12-10,2020-12-22,,Robert Wilson,Corporate,United States,Asia-Pacific,Furniture,Copiers,Product A,833.55,9,0.2,259.79,56.73
ORD-100070,2021-06-01,2021-06-21,CUST-8884,Sarah Johnson,Home Office,Australia,Americas,Office Supplies,Tables,Product A,127.73,18,0.05,30.21,14.62
ORD-100071,2022-04-09,2022-04-21,CUST-5738,Sarah Johnson,Home Office,Australia,Asia-Pacific,Office Supplies,Desks,Product B,394.58,15,0.1,117.78,40.25
ORD-100072,2019-09-08,2019-10-05,CUST-7424,Sarah Johnson,Consumer,Canada,Asia-Pacific,Furniture,Phones,Product A,847.51,7,0.0,107.26,
ORD-100073,2022-10-14,2022-11-07,,John Smith,Consumer,France,Americas,Furniture,Chairs,Product D,656.4,3,0.0,233.58,71.49
ORD-100074,2021-08-21,2021-09-06,CUST-6594,Emily Brown,Corporate,Germany,Americas,Technology,Paper,Product C,2670.32,5,0.0,971.29,258.33
ORD-100075,2022-08-26,2022-09-20,CUST-8170,Emily Brown,Consumer,France,Europe,Technology,Desks,Product A,4140.28,11,0.0,645.6,351.98
ORD-100076,2023-05-16,2023-05-30,CUST-6640,Mike Davis,Corporate,Canada,Europe,Technology,Tables,Product D,14495.33,17,0.0,2425.54,1503.13
,2023-04-14,2023-04-27,,Sarah Johnson,Consumer,Canada,Europe,Technology,Phones,Product A,8507.44,9,0.0,2727.18,640.31
ORD-100078,2022-09-01,2022-09-21,CUST-6285,Mike Davis,Consumer,Germany,Americas,Furniture,Binders,Product A,5260.22,18,0.0,1460.88,445.97
ORD-100079,2020-07-24,2020-08-13,CUST-8465,Mike Davis,Consumer,Mexico,Americas,Furniture,Paper,Product B,6931.52,21,0.05,2258.39,957.15
ORD-100080,2023-04-24,2023-05-16,CUST-5674,Mike Davis,Corporate,Germany,Americas,Office Supplies,Phones,Product C,215.0,12,0.0,61.29,24.33
ORD-100081,2020-08-08,2020-08-21,CUST-8977,John Smith,Home Office,United Kingdom,Asia-Pacific,Office Supplies,Phones,Product B,235.88,5,0.0,72.26,
,2022-02-17,2022-03-11,CUST-7994,Mike Davis,Corporate,Australia,Americas,Office Supplies,Desks,Product C,123.73,12,0.05,40.52,
ORD-100083,2023-04-11,2023-04-17,CUST-6562,Mike Davis,Corporate,Germany,Americas,Office Supplies,Chairs,Product B,37.09,3,0.0,12.55,2.67
ORD-100084,2021-01-17,2021-02-14,,John Smith,Consumer,Australia,Americas,Furniture,Binders,Product B,4193.72,20,0.0,1657.33,584.65
ORD-100085,2022-07-18,2022-08-03,CUST-5377,Mike Davis,Corporate,United States,Americas,Technology,Binders,Product B,11822.05,21,0.0,3063.17,
ORD-100086,2020-06-10,2020-07-09,CUST-6087,Robert Wilson,Corporate,Australia,Americas,Office Supplies,Chairs,Product D,361.54,12,0.0,60.62,41.63
ORD-100087,2023-12-18,2024-01-09,CUST-7936,Emily Brown,Corporate,France,Asia-Pacific,Office Supplies,Binders,Product A,217.65,6,0.0,77.92,11.74
ORD-100088,2020-12-14,2020-12-26,CUST-5142,Sarah Johnson,Consumer,Canada,Americas,Office Supplies,Desks,Product C,7.41,1,0.15,2.57,0.61
ORD-100089,2020-03-03,2020-03-24,CUST-5110,Mike Davis,Consumer,Mexico,Asia-Pacific,Technology,Copiers,Product C,4159.7,6,0.0,1180.87,597.0
ORD-100090,2020-04-03,2020-04-27,CUST-8218,Emily Brown,Corporate,France,Europe,Office Supplies,Paper,Product D,37.14,3,0.0,8.6,4.06
ORD-100091,2023-10-23,2023-11-19,CUST-6982,John Smith,Home Office,Mexico,Europe,Furniture,Copiers,Product D,1090.88,6,0.05,435.15,125.49
ORD-100092,2021-05-11,2021-06-05,CUST-8811,Sarah Johnson,Corporate,Germany,Americas,Technology,Copiers,Product B,3093.88,4,0.05,777.97,313.72
ORD-100093,2021-07-20,2021-07-30,CUST-8369,Emily Brown,Corporate,Mexico,Asia-Pacific,Technology,Phones,Product B,11155.71,22,0.0,2674.51,820.83
ORD-100094,2019-01-02,2019-01-29,CUST-7040,Emily Brown,Consumer,France,Americas,Furniture,Desks,Product C,4034.7,9,0.0,942.47,346.67
ORD-100095,2022-06-06,2022-06-15,CUST-8347,Mike Davis,Consumer,United Kingdom,Americas,Technology,Binders,Product A,8943.33,23,0.0,1091.52,912.02
ORD-100096,2019-11-09,2019-12-05,,Sarah Johnson,Home Office,Germany,Asia-Pacific,Furniture,Chairs,Product C,2063.58,5,0.0,643.04,281.52
ORD-100097,2022-08-09,2022-09-02,CUST-8882,Sarah Johnson,Consumer,United States,Asia-Pacific,Office Supplies,Chairs,Product B,141.07,3,0.0,27.49,7.64
ORD-100098,2023-12-26,2024-01-24,CUST-6364,John Smith,Home Office,Australia,Asia-Pacific,Technology,Copiers,Product D,11264.33,18,0.0,1551.35,724.91
ORD-100099,2020-10-30,2020-11-09,CUST-8952,Emily Brown,Home Office,France,Asia-Pacific,Furniture,Tables,Product D,933.76,2,0.05,198.23,
ORD-100100,2019-12-11,2019-12-29,CUST-6112,Robert Wilson,Consumer,Mexico,Asia-Pacific,Furniture,Chairs,Product A,5281.76,16,0.1,1442.74,348.22
ORD-100101,2020-08-11,2020-08-24,CUST-5454,John Smith,Corporate,Germany,Europe,Technology,Paper,Product C,6551.4,14,0.15,2426.72,535.38
ORD-100102,2021-12-24,2022-01-09,CUST-7889,Sarah Johnson,Home Office,Australia,Americas,Office Supplies,Phones,Product A,478.63,19,0.0,81.97,34.81
ORD-100103,2021-10-23,2021-11-17,CUST-7474,Robert Wilson,Corporate,France,Americas,Office Supplies,Paper,Product C,344.38,12,0.0,59.86,30.8
ORD-100104,2020-09-10,2020-10-07,CUST-8610,Robert Wilson,Consumer,United Kingdom,Asia-Pacific,Technology,Copiers,Product D,843.93,4,0.15,320.97,50.76
ORD-100105,2019-10-18,2019-10-30,CUST-8312,Sarah Johnson,Corporate,Canada,Europe,Office Supplies,Paper,Product B,571.78,17,0.2,146.8,77.73
ORD-100106,2021-08-09,2021-08-17,CUST-5009,Sarah Johnson,Home Office,France,Americas,Office Supplies,Chairs,Product A,401.9,12,0.0,154.9,53.02
ORD-100107,2020-11-12,2020-11-24,CUST-7734,John Smith,Corporate,Mexico,Americas,Furniture,Tables,Product D,1716.18,4,0.0,389.78,102.2
ORD-100108,2022-06-03,2022-06-08,CUST-6343,Mike Davis,Consumer,United States,Europe,Technology,Copiers,Product A,6147.15,16,0.0,994.95,465.27
ORD-100109,2023-08-09,2023-08-16,CUST-5743,Robert Wilson,Corporate,Germany,Asia-Pacific,Office Supplies,Chairs,Product D,424.14,9,0.05,58.75,51.93
ORD-100110,2019-03-14,2019-03-26,CUST-8061,Emily Brown,Home Office,France,Americas,Furniture,Paper,Product B,2153.37,7,0.0,259.02,158.0
ORD-100111,2022-07-06,2022-08-01,CUST-7334,John Smith,Corporate,Australia,Europe,Office Supplies,Copiers,Product D,227.28,6,0.0,54.45,
ORD-100112,2020-09-09,2020-10-08,CUST-5285,Robert Wilson,Consumer,United Kingdom,Asia-Pacific,Technology,Binders,Product B,4733.81,16,0.0,1856.83,
ORD-100113,2020-02-10,2020-03-03,CUST-6866,Mike Davis,Consumer,Germany,Europe,Technology,Binders,Product B,4349.64,20,0.05,830.51,374.13
ORD-100114,2022-12-01,2022-12-09,CUST-8287,Sarah Johnson,Home Office,France,Asia-Pacific,Office Supplies,Phones,Product B,1092.24,22,0.0,388.21,156.25
ORD-100115,2019-05-14,2019-05-21,CUST-6312,Emily Brown,Corporate,United States,Asia-Pacific,Technology,Copiers,Product B,6783.69,21,0.0,1133.45,727.92
,2021-04-12,2021-04-30,CUST-6979,Emily Brown,Corporate,Germany,Asia-Pacific,Office Supplies,Binders,Product A,34.76,3,0.0,7.31,
ORD-100117,2020-06-26,2020-07-14,CUST-7429,Mike Davis,Consumer,United Kingdom,Asia-Pacific,Office Supplies,Desks,Product A,34.78,6,0.0,9.76,3.08
ORD-100118,2021-12-15,2022-01-03,CUST-7148,Emily Brown,Home Office,Mexico,Americas,Furniture,Binders,Product A,1239.24,3,0.0,222.59,147.67
ORD-100119,2021-03-30,2021-04-07,CUST-5509,Sarah Johnson,Home Office,Canada,Asia-Pacific,Office Supplies,Phones,Product C,107.27,5,0.15,16.99,9.81
ORD-100120,2020-02-09,2020-03-06,CUST-5172,Emily Brown,Home Office,Germany,Europe,Office Supplies,Chairs,Product C,669.05,23,0.0,110.1,
ORD-100121,2020-05-11,2020-05-26,CUST-7068,Sarah Johnson,Consumer,United Kingdom,Asia-Pacific,Technology,Paper,Product A,6720.82,21,0.0,1326.71,655.96
ORD-100122,2019-04-15,2019-05-06,CUST-7247,John Smith,Consumer,United States,Europe,Furniture,Copiers,Product A,6981.58,16,0.0,778.64,671.26
ORD-100123,2021-08-13,,CUST-7324,Sarah Johnson,Home Office,Germany,Americas,Furniture,Copiers,Product B,2549.22,23,0.05,319.77,145.84
,2022-06-05,2022-06-20,CUST-6246,John Smith,Home Office,Australia,Asia-Pacific,Technology,Chairs,Product B,5295.61,19,0.0,1578.57,405.14
ORD-100125,2020-04-07,2020-04-29,CUST-6511,Sarah Johnson,Consumer,United Kingdom,Europe,Technology,Phones,Product A,2574.44,4,0.1,667.01,
ORD-100126,2023-09-13,2023-10-03,CUST-6748,Emily Brown,Home Office,Canada,Asia-Pacific,Office Supplies,Tables,Product B,218.31,17,0.15,46.2,20.51
ORD-100127,2019-04-23,2019-05-21,CUST-5662,Emily Brown,Home Office,Canada,Europe,Furniture,Tables,Product D,3975.94,23,0.15,1046.49,286.69
ORD-100128,2020-08-20,2020-09-15,CUST-8754,Robert Wilson,Consumer,France,Americas,Technology,Paper,Product A,3969.98,13,0.0,1261.64,283.26
ORD-100129,2020-11-26,2020-12-03,CUST-6923,Mike Davis,Corporate,Mexico,Asia-Pacific,Technology,Desks,Product B,6311.98,7,0.0,1452.64,667.83
ORD-100130,2023-02-23,2023-03-24,CUST-6037,John Smith,Consumer,France,Asia-Pacific,Office Supplies,Desks,Product A,80.54,2,0.0,21.45,
ORD-100131,2022-11-01,2022-11-25,CUST-6492,Robert Wilson,Home Office,Australia,Asia-Pacific,Technology,Desks,Product B,5085.04,6,0.15,1070.37,621.43
ORD-100132,2021-07-30,2021-08-07,CUST-8741,Sarah Johnson,Consumer,United Kingdom,Americas,Furniture,Tables,Product C,5944.06,23,0.15,1884.39,431.21
ORD-100133,2022-04-26,2022-05-19,CUST-7160,John Smith,Home Office,France,Asia-Pacific,Furniture,Desks,Product C,8325.93,22,0.05,3285.34,1103.3
ORD-100134,2023-07-10,2023-07-31,CUST-7184,Sarah Johnson,Home Office,Australia,Asia-Pacific,Technology,Paper,Product A,11223.27,22,0.05,3264.32,693.98
ORD-100135,2020-05-14,2020-05-28,CUST-5580,Robert Wilson,Home Office,Germany,Asia-Pacific,Office Supplies,Paper,Product D,533.66,17,0.0,165.06,68.45
ORD-100136,2019-02-18,2019-03-15,CUST-8640,Emily Brown,Consumer,United Kingdom,Europe,Office Supplies,Chairs,Product D,182.7,4,0.0,68.12,9.26
ORD-100137,2020-12-25,2021-01-22,CUST-6251,Mike Davis,Corporate,France,Asia-Pacific,Office Supplies,Binders,Product B,121.26,3,0.0,47.59,11.26
ORD-100138,2019-09-07,2019-09-22,CUST-8737,Emily Brown,Consumer,United Kingdom,Europe,Furniture,Phones,Product A,121.11,1,0.1,20.71,12.7
ORD-100139,2019-06-14,2019-07-09,CUST-7537,John Smith,Consumer,Mexico,Asia-Pacific,Office Supplies,Copiers,Product B,129.38,5,0.0,50.67,10.99
ORD-100140,2021-10-11,2021-10-16,CUST-8183,John Smith,Consumer,Germany,Europe,Furniture,Desks,Product B,4214.47,11,0.0,1108.67,403.87
ORD-100141,2019-04-08,2019-04-28,CUST-5531,Sarah Johnson,Consumer,Australia,Europe,Technology,Copiers,Product D,7320.03,12,0.0,2502.87,404.03
,2021-06-02,2021-06-28,CUST-6991,Emily Brown,Consumer,Australia,Europe,Technology,Chairs,Product B,6647.63,20,0.15,1564.66,845.59
ORD-100143,2021-10-08,2021-10-15,CUST-8143,John Smith,Home Office,United Kingdom,Asia-Pacific,Office Supplies,Copiers,Product C,447.27,18,0.0,70.97,26.57
ORD-100144,2019-08-26,2019-09-07,,Robert Wilson,Corporate,United Kingdom,Europe,Office Supplies,Binders,Product D,391.28,12,0.0,81.75,26.17
ORD-100145,2023-07-01,2023-07-10,CUST-6283,Emily Brown,Corporate,France,Europe,Office Supplies,Phones,Product B,664.77,19,0.15,167.23,61.01
ORD-100146,2023-10-25,2023-11-21,CUST-5645,Mike Davis,Consumer,United States,Asia-Pacific,Technology,Binders,Product D,858.37,1,0.0,139.85,126.48
ORD-100147,2022-11-01,2022-11-16,CUST-6698,Emily Brown,Home Office,United Kingdom,Americas,Office Supplies,Desks,Product A,879.2,21,0.0,319.98,65.44
ORD-100148,2019-11-03,2019-11-22,CUST-6089,Mike Davis,Corporate,Mexico,Americas,Office Supplies,Binders,Product C,455.72,23,0.05,160.61,67.41
ORD-100149,2020-03-29,2020-04-11,CUST-5459,John Smith,Home Office,Australia,Asia-Pacific,Furniture,Copiers,Product A,869.43,3,0.05,166.58,46.36
ORD-100150,2023-11-23,2023-12-10,CUST-6565,Mike Davis,Corporate,Mexico,Americas,Technology,Binders,Product A,3695.61,6,0.05,492.61,354.91
,2019-10-08,2019-10-20,CUST-7810,Emily Brown,Corporate,France,Asia-Pacific,Office Supplies,Copiers,Product A,339.4,22,0.15,126.68,44.29
ORD-100152,2023-03-12,2023-04-04,CUST-7269,John Smith,Corporate,France,Americas,Technology,Binders,Product C,1574.06,4,0.0,163.26,126.12
ORD-100153,2019-03-09,2019-03-21,CUST-6585,Robert Wilson,Consumer,Germany,Europe,Office Supplies,Copiers,Product A,249.46,22,0.15,30.86,32.29
ORD-100154,2022-09-10,2022-09-30,CUST-7379,Emily Brown,Home Office,United Kingdom,Americas,Furniture,Phones,Product C,9740.87,21,0.0,2929.66,1343.24
ORD-100155,2020-06-10,2020-06-23,CUST-5578,Emily Brown,Corporate,United Kingdom,Americas,Technology,Desks,Product D,14735.46,22,0.05,4089.23,1086.64
ORD-100156,2022-03-31,2022-04-27,CUST-6644,John Smith,Consumer,Australia,Europe,Furniture,Tables,Product D,515.96,6,0.15,57.75,72.62
ORD-100157,2019-05-22,2019-05-29,CUST-7665,Mike Davis,Consumer,Germany,Americas,Furniture,Phones,Product B,610.97,6,0.15,213.84,47.96
ORD-100158,2019-08-21,2019-09-03,CUST-7174,Robert Wilson,Consumer,United States,Americas,Furniture,Chairs,Product D,10846.68,24,0.0,2955.0,
,2023-07-02,2023-07-25,CUST-8760,Emily Brown,Consumer,Germany,Americas,Furniture,Desks,Product B,6197.95,16,0.0,2393.71,844.71
ORD-100160,2022-09-09,2022-09-14,CUST-7497,Mike Davis,Corporate,Germany,Asia-Pacific,Technology,Tables,Product A,12014.14,15,0.0,1457.34,1026.93
ORD-100161,2022-07-13,2022-07-31,,Emily Brown,Home Office,France,Americas,Office Supplies,Tables,Product C,223.59,7,0.15,30.45,12.67
ORD-100162,2022-08-27,2022-09-13,CUST-8500,John Smith,Corporate,Germany,Americas,Technology,Paper,Product B,9745.87,17,0.0,3362.49,
ORD-100163,2023-07-16,2023-08-01,CUST-7487,Emily Brown,Home Office,Mexico,Asia-Pacific,Office Supplies,Paper,Product C,174.14,9,0.0,47.83,19.17
ORD-100164,2022-05-04,2022-05-13,CUST-7372,Sarah Johnson,Consumer,Australia,Asia-Pacific,Furniture,Binders,Product D,3370.23,10,0.05,681.4,
ORD-100165,2022-05-12,2022-05-22,CUST-6257,Mike Davis,Home Office,United Kingdom,Americas,Furniture,Desks,Product B,1990.5,13,0.2,782.74,126.55
ORD-100166,2019-05-05,2019-05-24,CUST-6523,John Smith,Corporate,Canada,Americas,Furniture,Paper,Product D,902.35,5,0.2,330.73,119.72
ORD-100167,2021-10-04,2021-10-30,CUST-7989,Emily Brown,Consumer,United States,Americas,Furniture,Paper,Product D,5261.89,13,0.0,1842.16,422.18
ORD-100168,2019-05-19,2019-05-30,CUST-8735,Sarah Johnson,Consumer,United Kingdom,Asia-Pacific,Technology,Tables,Product A,5767.51,24,0.25,1989.95,739.62
ORD-100169,2021-09-25,2021-10-20,CUST-8588,John Smith,Consumer,Germany,Europe,Furniture,Binders,Product A,6406.91,19,0.0,1792.24,614.08
